Start Date,1/14/2025 16:31:35
Length,198.00000,mm
Rate 1,0.60000,mm/min
Geometry,Circular
Diameter,8.65000,mm
Final length,1.00000,mm

Time,Extension,Load,Displacement (Strain 1),Strain 1
(sec),(mm),(N),(mm),
118.57080,1.16536,25922.02425,0.00000,0.00000
119.00000,1.16955,25934.26704,0.00000,0.00000
120.00000,1.18186,25986.87410,0.00000,0.00000
121.00000,1.19247,26047.31321,0.00000,0.00000
121.02280,1.19460,26047.05095,0.00000,0.00000
122.00000,1.20687,26080.25074,0.00000,0.00000
123.00000,1.22272,26075.81615,0.00000,0.00000
124.00000,1.24449,26117.80167,0.00000,0.00000
124.88380,1.26889,26170.06302,0.00000,0.00000
125.00000,1.27445,26180.73225,0.00000,0.00000
126.00000,1.31536,26247.14375,0.00000,0.00000
126.39280,1.33472,26294.88707,0.00000,0.00000
127.00000,1.36858,26314.64005,0.00000,0.00000
128.00000,1.43100,26304.24500,0.00000,0.00000
129.00000,1.49624,26383.44765,0.00000,0.00000
129.19480,1.50844,26424.63446,0.00000,0.00000
129.70880,1.54242,26314.49699,0.00000,0.00000
130.00000,1.56235,26186.51390,0.00000,0.00000
130.01880,1.56438,26175.23670,0.00000,0.00000
131.00000,1.62843,26123.14224,0.00000,0.00000
132.00000,1.68988,26205.55162,0.00000,0.00000
133.00000,1.74847,26127.00462,0.00000,0.00000
134.00000,1.79611,26168.04838,0.00000,0.00000
135.00000,1.83752,26119.05336,0.00000,0.00000
136.00000,1.86707,26071.66767,0.00000,0.00000
136.78680,1.88233,26064.78930,0.00000,0.00000
137.00000,1.88758,26042.46140,0.00000,0.00000
137.75880,1.89573,25930.88150,0.00000,0.00000
138.00000,1.89642,25885.74886,0.00000,0.00000
138.61580,1.90227,25812.94775,0.00000,0.00000
139.00000,1.90394,25773.96631,0.00000,0.00000
139.65080,1.90501,25683.23612,0.00000,0.00000
140.00000,1.90521,25630.30720,0.00000,0.00000
141.00000,1.90514,25559.60417,0.00000,0.00000
142.00000,1.90869,25699.56779,0.00000,0.00000
142.47580,1.91314,25795.56704,0.00000,0.00000
143.00000,1.91689,25908.99467,0.00000,0.00000
143.02280,1.91867,25923.78855,0.00000,0.00000
143.56680,1.92606,26045.38202,0.00000,0.00000
144.00000,1.93324,26133.85916,0.00000,0.00000
144.40680,1.94234,26167.89341,0.00000,0.00000
145.00000,1.95914,26183.74825,0.00000,0.00000
146.00000,1.99380,26104.54559,0.00000,0.00000
147.00000,2.04411,26152.19355,0.00000,0.00000
147.95380,2.10431,26297.71233,0.00000,0.00000
148.00000,2.10788,26320.54090,0.00000,0.00000
148.35380,2.13000,26419.48462,0.00000,0.00000
149.00000,2.17781,26422.02377,0.00000,0.00000
149.48280,2.21329,26545.40539,0.00000,0.00000
149.97880,2.25106,26663.98287,0.00000,0.00000
150.00000,2.25140,26668.16711,0.00000,0.00000
150.38480,2.28519,26805.01938,0.00000,0.00000
151.00000,2.33485,26830.72090,0.00000,0.00000
152.00000,2.41352,26832.93819,0.00000,0.00000
152.59780,2.45752,26926.35059,0.00000,0.00000
153.00000,2.48742,26946.06781,0.00000,0.00000
154.00000,2.55328,26952.06404,0.00000,0.00000
155.00000,2.60885,26823.11535,0.00000,0.00000
155.44580,2.63003,26808.84600,0.00000,0.00000
156.00000,2.64819,26713.93156,0.00000,0.00000
156.32480,2.65714,26688.71880,0.00000,0.00000
157.00000,2.67447,26564.82458,0.00000,0.00000
157.02880,2.67202,26566.23125,0.00000,0.00000
157.88380,2.68283,26442.80195,0.00000,0.00000
158.00000,2.68168,26398.62299,0.00000,0.00000
158.33980,2.68437,26304.61454,0.00000,0.00000
158.76680,2.68283,26179.57592,0.00000,0.00000
159.00000,2.68177,26121.13953,0.00000,0.00000
159.22180,2.68099,26047.73045,0.00000,0.00000
159.59480,2.67857,25930.69077,0.00000,0.00000
159.84180,2.67565,25807.76215,0.00000,0.00000
160.00000,2.67521,25745.09382,0.00000,0.00000
160.13180,2.67506,25681.88906,0.00000,0.00000
160.40980,2.67150,25562.53672,0.00000,0.00000
160.72380,2.66956,25424.96920,0.00000,0.00000
161.00000,2.66654,25320.56570,0.00000,0.00000
161.07080,2.66644,25310.88591,0.00000,0.00000
161.47180,2.66188,25183.85649,0.00000,0.00000
162.00000,2.66137,25075.17338,0.00000,0.00000
162.05580,2.66219,25056.39791,0.00000,0.00000
163.00000,2.66015,25018.09597,0.00000,0.00000
163.97680,2.66288,25183.30812,0.00000,0.00000
164.00000,2.66514,25179.54111,0.00000,0.00000
164.33680,2.66629,25301.89753,0.00000,0.00000
164.60180,2.66930,25425.43411,0.00000,0.00000
164.83980,2.67100,25550.03166,0.00000,0.00000
165.00000,2.67207,25653.67222,0.00000,0.00000
165.04080,2.67566,25677.08492,0.00000,0.00000
165.20180,2.67741,25801.11027,0.00000,0.00000
165.34480,2.68052,25919.79504,0.00000,0.00000
165.48280,2.68259,26046.95559,0.00000,0.00000
165.62380,2.68588,26173.09093,0.00000,0.00000
165.75280,2.68827,26292.25254,0.00000,0.00000
165.89480,2.69290,26423.27547,0.00000,0.00000
166.00000,2.69537,26516.73555,0.00000,0.00000
166.04680,2.69840,26549.51811,0.00000,0.00000
166.26280,2.70329,26676.05877,0.00000,0.00000
166.63080,2.71544,26793.55145,0.00000,0.00000
167.00000,2.73076,26890.62357,0.00000,0.00000
167.12080,2.73566,26925.95720,0.00000,0.00000
167.43580,2.75266,27047.64605,0.00000,0.00000
167.91580,2.78076,27164.56652,0.00000,0.00000
168.00000,2.78590,27197.48020,0.00000,0.00000
169.00000,2.85560,27153.22971,0.00000,0.00000
169.71380,2.91649,27057.27816,0.00000,0.00000
170.00000,2.94220,26995.15820,0.00000,0.00000
170.49280,2.98730,27168.13087,0.00000,0.00000
171.00000,3.03428,27242.01679,0.00000,0.00000
172.00000,3.12567,27187.52623,0.00000,0.00000
173.00000,3.21560,27161.14521,0.00000,0.00000
174.00000,3.29405,27184.52215,0.00000,0.00000
175.00000,3.36235,27171.25416,0.00000,0.00000
176.00000,3.41275,27115.96489,0.00000,0.00000
176.31680,3.42375,27066.40959,0.00000,0.00000
176.92380,3.43992,26929.21162,0.00000,0.00000
177.00000,3.44087,26916.68272,0.00000,0.00000
177.44180,3.44779,26806.70023,0.00000,0.00000
177.86380,3.44893,26679.99268,0.00000,0.00000
178.00000,3.45140,26624.35770,0.00000,0.00000
178.19580,3.45120,26560.24694,0.00000,0.00000
178.47080,3.45047,26433.55131,0.00000,0.00000
178.71680,3.44958,26302.17075,0.00000,0.00000
178.91480,3.44617,26179.88586,0.00000,0.00000
179.00000,3.44518,26125.65756,0.00000,0.00000
179.11180,3.44249,26049.07751,0.00000,0.00000
179.28480,3.44063,25927.79398,0.00000,0.00000
179.45480,3.43796,25803.54214,0.00000,0.00000
179.62580,3.43480,25674.10469,0.00000,0.00000
179.78380,3.43267,25552.90461,0.00000,0.00000
179.91980,3.42885,25436.11526,0.00000,0.00000
180.00000,3.42773,25364.68506,0.00000,0.00000
180.06380,3.42637,25307.86991,0.00000,0.00000
180.19580,3.42236,25180.63784,0.00000,0.00000
180.33080,3.42242,25056.88667,0.00000,0.00000
180.46380,3.41889,24928.41482,0.00000,0.00000
180.60380,3.41673,24793.46991,0.00000,0.00000
180.73680,3.41186,24680.68600,0.00000,0.00000
180.88180,3.41107,24547.17159,0.00000,0.00000
181.00000,3.40804,24451.66111,0.00000,0.00000
181.02980,3.40766,24426.68676,0.00000,0.00000
181.18880,3.40477,24308.50267,0.00000,0.00000
181.35180,3.40196,24186.83767,0.00000,0.00000
181.52080,3.40042,24049.19863,0.00000,0.00000
181.70980,3.39500,23936.70082,0.00000,0.00000
181.90180,3.39295,23811.73372,0.00000,0.00000
182.00000,3.39215,23738.70611,0.00000,0.00000
182.12280,3.39242,23684.38244,0.00000,0.00000
182.37080,3.38959,23550.00973,0.00000,0.00000
182.67080,3.38456,23419.73782,0.00000,0.00000
183.00000,3.38140,23322.76106,0.00000,0.00000
183.14480,3.38183,23300.05169,0.00000,0.00000
184.00000,3.38289,23335.55222,0.00000,0.00000
184.26380,3.38506,23418.45036,0.00000,0.00000
184.55480,3.38798,23542.03463,0.00000,0.00000
184.80880,3.39061,23670.24422,0.00000,0.00000
184.99280,3.39345,23793.70928,0.00000,0.00000
185.00000,3.39482,23804.98648,0.00000,0.00000
185.17080,3.39534,23919.40355,0.00000,0.00000
185.31180,3.39902,24045.05014,0.00000,0.00000
185.44980,3.40139,24176.27573,0.00000,0.00000
185.57980,3.40441,24310.21929,0.00000,0.00000
185.69580,3.40549,24427.22321,0.00000,0.00000
185.79780,3.41054,24553.09629,0.00000,0.00000
185.89180,3.41175,24672.61553,0.00000,0.00000
185.98980,3.41358,24802.41060,0.00000,0.00000
186.00000,3.41613,24812.60300,0.00000,0.00000
186.07480,3.41770,24928.60556,0.00000,0.00000
186.15780,3.42069,25051.99909,0.00000,0.00000
186.23780,3.42330,25170.11166,0.00000,0.00000
186.32380,3.42780,25307.38115,0.00000,0.00000
186.39680,3.42873,25422.71614,0.00000,0.00000
186.47180,3.43260,25561.01084,0.00000,0.00000
186.53880,3.43363,25669.13366,0.00000,0.00000
186.60880,3.43606,25793.24245,0.00000,0.00000
